MILLBERGET,90339412,350,Chairs,        Swivel chair,Ola Wihlborg,,
FANBYN,9221016,295,Chairs,        Chair with armrests,092.210.16 You sit comfortably thanks to the shaped back and armrests.Suitable for both indoor and outdoor use.,,
FLINTAN / NOMINELL,29208194,370,Chairs,        Office chair with armrests,Henrik Preutz/Olle Lundberg,,74
EKOLSUND,59297184,1395,Chairs,        Recliner,Anna Palleschitz,97,85
NILSOVE,50434312,395,Chairs,        Chair with armrests,A Fredriksson/J Hultqvist/W Chong,82,57
AGEN,50058376,245,Chairs,        Chair,500.583.76 Rattan is a natural material which ages beautifully and develops its own unique character over time.Handwoven; each piece of furniture is unique.Stackable chair; saves space when not in use.Plastic feet; protect the furniture if in contact with a moist surface.May be completed with NORNA chair pad for enhanced seating comfort.,79,58
ADDE,10219178,40,Chairs,        Chair,Marcus Arvonen,77,39
SKÅLBERG / SPORREN,69023612,190,Chairs,        Swivel chair,IKEA of Sweden/Carl Öjerstam,,71
MARIUS,90184047,25,Chairs,        Stool,Ola Wihlborg,,40
MOLTE,20292776,69,Chairs,        Desk chair,Lycke von Schantz,,40
GUNDE,60217799,30,Chairs,        Folding chair,K Hagberg/M Hagberg,78,41
ÖRFJÄLL,70441769,195,Chairs,        Children's desk chair,S Holmbäck/U Nordentoft,,53
NOLMYRA,10233532,175,Chairs,        Easy chair,Jooyeon Lee,75,64
LÅNGFJÄLL,9252786,695,Chairs,        Office chair with armrests,Eva Lilja Löwenhielm,,68
GRÖNADAL,90320097,795,Chairs,        Rocking-chair,Lisa Hilland,86,80
KARLJAN,50341025,125,Chairs,        Chair,Francis Cayouette,81,49
BLECKBERGET,60308676,250,Chairs,        Swivel chair,Francis Cayouette,,68
REMSTA,60344759,795,Chairs,        Armchair,IKEA of Sweden,88,60
STOCKSUND,39129342,995,Chairs,        Bench,Nike Karlsson,47,144
FLINTAN,20336836,245,Chairs,        Office chair,Henrik Preutz,,74
IKEA PS GULLHOLMEN,50039552,295,Chairs,        Rocking-chair,Maria Vinka,75,62
MARKUS,70261150,795,Chairs,        Office chair,Henrik Preutz,,62
BEKVÄM,60178887,59,Chairs,        Step stool/          50 cm,Nike Karlsson,50,43
TOSSBERG,90435324,495,Chairs,        Chair,IKEA of Sweden,82,60
SAKARIAS,50463502,50,Chairs,        Stool cover,IKEA of Sweden,,
KYRRE,60416925,60,Chairs,        Stool,C Styrbjörn/M Axelsson,45,42
TEODORES,90350937,95,Chairs,        Chair,David Wahl,80,46
